3V3,88.35,73.24,0.00,TPTP20R,TP20R
BOOT_BUTTON,64.00,108.98,180.00,BOOT_BUTTON,MYBUTTON
C1,157.92,6.40,90.00,100nF,EAGLE-LTSPICE_C0402
C10,27.66,108.86,270.00,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,95.92,49.98,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,111.60,54.68,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,115.93,37.58,180.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,129.02,40.79,270.00,4.7uF,EAGLE-LTSPICE_C0402
C2,156.64,6.35,90.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,127.61,58.18,0.00,4.7uF,EAGLE-LTSPICE_C0402
C3,125.50,40.69,270.00,"100uF TANT",RCL_CT3528
C4,93.94,31.05,90.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,153.10,51.05,270.00,100nF,EAGLE-LTSPICE_C0402
C5,52.97,108.87,270.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,144.10,49.99,270.00,4.7uF,EAGLE-LTSPICE_C0402
C6,67.26,108.90,270.00,100nF,EAGLE-LTSPICE_C0402
C7,81.31,25.54,180.00,10uF,EAGLE-LTSPICE_C0402
C8,93.64,59.88,90.00,100nF,EAGLE-LTSPICE_C0402
C9,9.64,99.96,90.00,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,24.00,108.98,180.00,CHANGE_BUTTON,MYBUTTON
CHG_LED,117.05,53.96,270.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,52.02,101.89,270.00,100nF,EAGLE-LTSPICE_C0402
D1,150.09,49.80,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,51.60,29.37,270.00,PGB1010603MR,DIOC1608X36N
D11,49.80,29.30,270.00,PGB1010603MR,DIOC1608X36N
D12,45.30,29.42,270.00,PGB1010603MR,DIOC1608X36N
D2,115.29,42.65,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,89.56,28.00,0.00,MBR0530,SOD3716X135N
D4,89.60,31.60,0.00,MBR0530,SOD3716X135N
D5,82.32,34.61,0.00,MBR0530,SOD3716X135N
